	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MFSD3	421.828	0.459	0.106	4.346	0.0	0.0
MFSD4	64.709	0.054	0.171	0.315	0.753	0.838
MFSD5	395.757	-0.418	0.096	-4.351	0.0	0.0
MFSD6	401.863	-0.008	0.093	-0.082	0.934	0.961
MFSD6L	0.0					
MFSD7	0.184	0.011	0.045	0.242	0.809	
MFSD8	805.337	0.009	0.076	0.121	0.904	0.941
MFSD9	384.039	0.112	0.093	1.207	0.227	0.355
MGA	2039.22	0.117	0.073	1.606	0.108	0.2
MGAM	15.658	-0.323	0.208	-1.558	0.119	0.216
MGAT1	1705.567	-0.151	0.056	-2.69	0.007	0.021
MGAT2	1492.661	0.277	0.06	4.644	0.0	0.0
MGAT3	306.727	0.782	0.109	7.148	0.0	0.0
MGAT4A	1420.276	0.026	0.064	0.408	0.683	0.786
MGAT4B	2046.724	-0.09	0.06	-1.481	0.139	0.244
MGAT4C	3.476	-0.022	0.154	-0.141	0.888	0.931
MGAT5	2017.935	-0.054	0.054	-0.995	0.32	0.459
MGAT5B	159.381	-0.124	0.133	-0.926	0.355	0.495
MGC12916	220.284	0.416	0.115	3.618	0.0	0.001
MGC12982	494.836	0.568	0.093	6.123	0.0	0.0
MGC14436	0.0					
MGC15885	0.0					
MGC16025	0.214	0.0	0.047	0.0	1.0	
MGC16121	74.864	0.02	0.172	0.119	0.905	0.942
MGC16142	65.525	-0.029	0.172	-0.171	0.865	0.914
MGC16275	15.75	0.129	0.208	0.622	0.534	0.665
MGC16703	40.998	-0.133	0.193	-0.688	0.491	0.627
MGC21881	63.505	0.178	0.174	1.023	0.306	0.444
MGC23270	70.861	-0.242	0.174	-1.387	0.165	0.279
MGC23284	50.327	0.039	0.183	0.213	0.832	0.891
MGC27345	476.516	0.041	0.091	0.448	0.654	0.764
MGC27382	0.0					
MGC2752	1250.75	-0.267	0.073	-3.676	0.0	0.001
MGC2889	29.673	0.277	0.203	1.363	0.173	0.289
MGC34034	0.08	0.0	0.042	0.0	1.0	
MGC3771	27.143	-0.144	0.203	-0.71	0.478	0.615
MGC39372	1.261	-0.005	0.104	-0.046	0.963	
MGC39584	0.0					
MGC4473	1.826	0.148	0.118	1.252	0.211	
MGC45800	355.388	0.305	0.095	3.215	0.001	0.005
MGC45922	5.607	-0.002	0.177	-0.012	0.99	0.994
MGC57346	1274.553	0.24	0.059	4.073	0.0	0.0
MGC70870	0.0					
MGC72080	162.018	0.065	0.128	0.508	0.611	0.73
MGEA5	5904.172	-0.097	0.05	-1.954	0.051	0.109
MGLL	98.898	0.157	0.151	1.042	0.297	0.434
MGMT	222.106	-0.102	0.118	-0.865	0.387	0.528
MGP	0.112	0.009	0.042	0.226	0.821	
MGRN1	1618.136	-0.406	0.073	-5.589	0.0	0.0
MGST1	1037.554	0.06	0.065	0.92	0.357	0.498
MGST2	465.114	-0.013	0.084	-0.158	0.874	0.922
MGST3	774.006	-0.095	0.072	-1.322	0.186	0.306
MIA	1.242	0.111	0.096	1.155	0.248	
MIA-RAB4B	0.459	0.02	0.06	0.327	0.744	
MIA2	0.605	-0.026	0.068	-0.38	0.704	
MIA3	2019.21	0.205	0.065	3.144	0.002	0.006
MIAT	79.165	0.364	0.164	2.218	0.027	0.064
MIB1	4979.46	0.388	0.066	5.872	0.0	0.0
MIB2	439.79	0.263	0.096	2.744	0.006	0.018
MICA	490.409	0.091	0.086	1.05	0.294	0.431
MICAL1	171.043	0.681	0.126	5.413	0.0	0.0
MICAL2	236.306	-0.2	0.113	-1.77	0.077	0.152
MICAL3	1671.186	-0.069	0.058	-1.196	0.232	0.36
MICALCL	7.8	-0.142	0.19	-0.746	0.456	0.596
MICALL1	2058.3	-0.349	0.06	-5.825	0.0	0.0
MICALL2	101.411	0.159	0.148	1.073	0.283	0.419
MICB	784.954	0.548	0.074	7.385	0.0	0.0
MICU1	1772.054	-0.084	0.057	-1.487	0.137	0.241
MID1	6168.833	-0.347	0.048	-7.286	0.0	0.0
MID1IP1	1597.75	0.377	0.069	5.424	0.0	0.0
MID2	1212.391	0.306	0.064	4.815	0.0	0.0
MIDN	2724.238	-0.196	0.055	-3.567	0.0	0.002
MIEN1	906.091	-0.183	0.075	-2.446	0.014	0.038
MIER1	1980.296	0.277	0.076	3.622	0.0	0.001
MIER2	913.984	-0.152	0.074	-2.045	0.041	0.091
MIER3	1631.386	-0.032	0.07	-0.466	0.641	0.754
MIF	7716.991	0.044	0.054	0.81	0.418	0.559
MIF4GD	645.583	0.237	0.087	2.71	0.007	0.02
MIIP	569.15	-0.387	0.082	-4.737	0.0	0.0
MILR1	0.884	0.009	0.083	0.107	0.914	
MIMT1	0.0					
MINA	1753.418	-0.402	0.061	-6.624	0.0	0.0
MINK1	1943.711	-0.337	0.068	-4.983	0.0	0.0
MINOS1	848.831	-0.138	0.068	-2.03	0.042	0.093
MINPP1	1207.584	0.127	0.064	1.979	0.048	0.103
MIOS	978.7	-0.132	0.076	-1.738	0.082	0.16
MIOX	0.0					
MIP	4.201	-0.239	0.164	-1.454	0.146	0.253
MIPEP	367.103	-0.012	0.094	-0.125	0.901	0.939
MIPOL1	510.143	0.265	0.095	2.789	0.005	0.016
MIR1-1	0.0					
MIR1-2	0.0					
MIR100	0.0					
MIR100HG	20.135	0.666	0.208	3.203	0.001	0.005
MIR101-1	0.238	0.013	0.049	0.265	0.791	
MIR101-2	0.0					
MIR103A1	0.0					
MIR103A2	0.264	0.014	0.051	0.275	0.783	
MIR103B1	0.0					
MIR103B2	0.0					
MIR105-1	0.0					
MIR105-2	0.0					
MIR106A	0.0					
MIR106B	0.223	0.022	0.044	0.489	0.625	
MIR107	0.0					
MIR10A	0.622	-0.028	0.072	-0.386	0.699	
MIR10B	0.0					
MIR1178	0.245	-0.014	0.05	-0.292	0.77	
MIR1179	0.191	0.01	0.042	0.226	0.821	
MIR1180	1.075	-0.029	0.099	-0.298	0.766	
MIR1181	0.0					
MIR1182	0.0					
MIR1184-1	0.0					
MIR1184-2	0.0					
MIR1184-3	0.0					
MIR1185-1	0.0					
MIR1185-2	0.0					
MIR1193	0.0					
MIR1197	0.0					
MIR1200	0.0					
MIR1203	0.0					
MIR1204	6.692	0.199	0.186	1.071	0.284	0.419
MIR1205	0.0					
MIR1206	0.347	0.0	0.056	0.0	1.0	
MIR1207	0.0					
MIR1208	0.0					
MIR122	0.0					
MIR1224	0.0					
MIR1225	0.0					
MIR1226	0.0					
MIR1227	0.301	-0.017	0.053	-0.314	0.754	
MIR1228	0.0					
MIR1229	0.0					
MIR1231	0.0					
MIR1233-1	0.0					
MIR1233-2	0.0					
MIR1234	0.0					
MIR1236	0.0					
MIR1237	0.0					
MIR1238	0.0					
MIR124-1	0.0					
MIR124-2	0.0					
MIR124-3	0.0					
MIR1243	0.0					
MIR1244-1	0.0					
MIR1244-2	0.0					
MIR1244-3	0.0					
MIR1245A	0.0					
MIR1245B	0.0					
MIR1246	0.0					
MIR1247	0.223	-0.001	0.048	-0.012	0.991	
MIR1248	3.974	-0.024	0.163	-0.147	0.883	0.928
MIR1249	1.008	0.006	0.09	0.066	0.948	
MIR1250	1.975	0.109	0.124	0.873	0.382	
MIR1251	0.0					
MIR1252	0.0					
MIR1253	0.0					
MIR1256	0.191	0.01	0.042	0.226	0.821	
MIR1257	0.407	0.021	0.062	0.335	0.737	
MIR1258	0.0					
MIR125A	0.0					
MIR125B1	0.0					
MIR125B2	0.0					
MIR126	0.0					
MIR1260A	0.0					
MIR1260B	0.0					
MIR1262	0.0					
MIR1264	0.0					
MIR1265	0.0					
MIR1266	0.0					
MIR127	0.0					
MIR1270-1	0.0					
MIR1270-2	0.0					
MIR1272	0.104	0.009	0.042	0.226	0.821	
MIR1275	0.0					
MIR1276	0.111	-0.01	0.042	-0.246	0.806	
MIR1277	0.0					
MIR1278	0.0					
MIR1279	0.0					
MIR128-1	0.0					
MIR128-2	0.0					
MIR1280	0.0					
MIR1281	5.168	0.045	0.174	0.258	0.797	0.867
MIR1282	1.757	-0.024	0.116	-0.205	0.837	
MIR1283-1	0.0					
MIR1283-2	0.0					
MIR1284	0.0					
MIR1286	0.111	-0.01	0.042	-0.246	0.806	
MIR1287	0.0					
MIR1288	0.0					
MIR1289-2	0.0					
MIR129-1	0.0					
MIR129-2	0.0					
MIR1291	3.021	0.23	0.147	1.57	0.116	0.212
MIR1292	2.708	0.04	0.143	0.278	0.781	0.858
MIR1293	0.0					
MIR1295A	0.0					
MIR1296	0.191	0.01	0.042	0.226	0.821	
MIR1297	0.0					
MIR1298	0.0					
MIR1301	0.223	-0.023	0.044	-0.511	0.61	
MIR1304	44.511	0.355	0.195	1.821	0.069	0.138
MIR1305	0.0					
MIR1306	0.0					
MIR1307	5.577	0.136	0.179	0.764	0.445	0.585
MIR130A	0.0					
MIR130B	3.0	0.186	0.149	1.251	0.211	0.336
MIR132	0.483	0.042	0.065	0.655	0.513	
MIR1322	0.0					
MIR1323	0.0					
MIR1324	0.238	0.013	0.049	0.265	0.791	
MIR133A1	0.0					
MIR133A2	0.0					
MIR133B	0.0					
MIR134	0.0					
MIR1343	0.0					
MIR135A1	0.0					
MIR135A2	0.0					
MIR135B	0.0					
MIR136	0.0					
MIR137	0.0					
MIR137HG	0.0					
MIR138-1	0.0					
MIR138-2	0.0					
MIR139	0.0					
MIR140	0.0					
MIR141	0.0					
MIR142	0.0					
MIR143	0.0					
MIR143HG	1.343	0.053	0.106	0.496	0.62	
MIR144	0.0					
MIR145	0.0					
MIR1468	0.0					
MIR1469	2.193	-0.095	0.126	-0.754	0.451	
MIR146A	0.0					
MIR146B	0.0					
MIR1470	0.0					
MIR1471	0.0					
MIR147A	0.0					
MIR147B	0.0					
MIR148A	0.0					
MIR148B	0.0					
MIR149	0.839	-0.035	0.087	-0.405	0.685	
MIR150	0.0					
MIR152	0.0					
MIR153-1	0.0					
MIR153-2	0.0					
MIR1537	0.104	0.009	0.042	0.226	0.821	
MIR1538	0.693	0.022	0.08	0.274	0.784	
MIR1539	0.111	-0.01	0.042	-0.246	0.806	
MIR154	0.0					
MIR155	0.0					
MIR155HG	0.111	-0.01	0.042	-0.246	0.806	
MIR15A	0.112	0.009	0.042	0.226	0.821	
MIR15B	0.0					
MIR16-1	0.0					
MIR16-2	0.0					
MIR17	0.0					
MIR17HG	2108.173	0.229	0.068	3.346	0.001	0.003
MIR181A1	0.0					
MIR181A2	0.0					
MIR181A2HG	9.092	0.183	0.195	0.937	0.349	0.49
MIR181B1	0.0					
MIR181B2	0.0					
MIR181C	0.112	0.009	0.042	0.226	0.821	
MIR181D	0.167	-0.01	0.042	-0.246	0.806	
MIR182	0.0					
MIR1827	0.0					
MIR183	0.0					
MIR184	0.0					
MIR185	0.0					
MIR186	26.286	0.364	0.205	1.779	0.075	0.15
MIR187	0.111	-0.01	0.042	-0.246	0.806	
MIR188	0.0					
MIR18A	0.0					
MIR18B	0.0					
MIR1908	0.238	0.013	0.049	0.265	0.791	
MIR1909	0.21	-0.013	0.047	-0.277	0.782	
MIR190A	0.0					
MIR190B	0.0					
MIR191	0.0					
MIR1910	0.0					
MIR1911	0.0					
MIR1912	0.0					
MIR1913	0.0					
MIR1914	12.063	-0.208	0.199	-1.046	0.296	0.433
MIR1915	1.591	-0.005	0.111	-0.042	0.967	
MIR192	0.111	-0.01	0.042	-0.246	0.806	
MIR193A	0.0					
MIR193B	0.0					
MIR194-1	0.0					
MIR194-2	0.0					
MIR195	0.0					
MIR196A1	5.328	-0.056	0.174	-0.321	0.748	0.834
MIR196A2	0.0					
MIR196B	1.573	0.091	0.103	0.885	0.376	
MIR197	0.191	-0.012	0.046	-0.267	0.789	
MIR1972-1	0.0					
MIR1972-2	0.0					
MIR1973	0.191	0.011	0.046	0.245	0.806	
MIR1976	0.0					
MIR198	0.0					
MIR199A1	0.0					
MIR199A2	0.0					
MIR199B	0.0					
MIR19A	0.0					
MIR19B1	0.0					
MIR19B2	0.0					
MIR200A	0.0					
MIR200B	0.0					
MIR200C	0.0					
MIR202	0.0					
MIR203	0.0					
MIR204	0.0					
MIR205	0.0					
MIR2052	0.104	0.009	0.042	0.226	0.821	
MIR2053	0.0					
MIR2054	0.0					
MIR205HG	0.0					
MIR206	0.0					
MIR208A	0.0					
MIR208B	0.0					
MIR20A	0.0					
MIR20B	0.0					
MIR21	0.383	0.031	0.053	0.589	0.556	
MIR210	2.214	-0.059	0.128	-0.464	0.643	
MIR210HG	227.778	0.339	0.13	2.602	0.009	0.026
MIR211	0.0					
MIR2110	0.0					
MIR2113	0.0					
MIR2114	0.0					
MIR2116	0.409	-0.023	0.062	-0.365	0.715	
MIR2117	0.0					
MIR212	0.0					
MIR214	0.0					
MIR215	0.0					
MIR216A	0.0					
MIR216B	0.0					
MIR217	0.0					
MIR218-1	0.0					
MIR218-2	0.0					
MIR219-1	0.184	0.011	0.045	0.242	0.809	
MIR219-2	0.0					
MIR22	0.0					
MIR221	13.019	0.245	0.204	1.2	0.23	0.359
MIR222	0.0					
MIR223	0.0					
MIR2276	0.0					
MIR2277	0.0					
MIR2278	0.0					
MIR22HG	128.196	-0.437	0.143	-3.061	0.002	0.008
MIR2355	0.0					
MIR2392	0.0					
MIR23A	0.0					
MIR23B	0.0					
MIR23C	0.112	0.009	0.042	0.226	0.821	
MIR24-1	0.295	-0.001	0.056	-0.014	0.989	
MIR24-2	0.0					
MIR2467	0.0					
MIR25	16.316	0.121	0.207	0.586	0.558	0.686
MIR2681	0.0					
MIR2682	0.0					
MIR26A1	0.0					
MIR26A2	0.104	0.009	0.042	0.226	0.821	
MIR26B	0.104	0.009	0.042	0.226	0.821	
MIR27A	0.0					
MIR27B	0.359	-0.001	0.06	-0.014	0.988	
MIR2861	0.279	-0.001	0.052	-0.013	0.99	
MIR2909	0.104	0.009	0.042	0.226	0.821	
MIR296	0.264	-0.015	0.051	-0.3	0.765	
MIR2964A	0.08	0.0	0.042	0.0	1.0	
MIR298	0.104	0.009	0.042	0.226	0.821	
MIR299	0.0					
MIR29A	0.0					
MIR29B1	0.0					
MIR29B2	0.301	-0.017	0.053	-0.314	0.754	
MIR29C	0.993	-0.02	0.091	-0.224	0.822	
MIR300	0.0					
MIR301A	0.0					
MIR301B	0.0					
MIR302A	0.0					
MIR302B	0.0					
MIR302C	0.0					
MIR302D	0.0					
MIR302F	0.0					
MIR3064	305.84	0.223	0.117	1.902	0.057	0.12
MIR3065	0.0					
MIR3074	0.0					
MIR30A	0.0					
MIR30B	0.134	0.0	0.042	0.0	1.0	
MIR30C1	0.0					
MIR30C2	0.371	-0.056	0.057	-0.983	0.325	
MIR30D	0.0					
MIR30E	0.0					
MIR31	0.0					
MIR3115	0.0					
MIR3117	0.0					
MIR3119-1	0.0					
MIR3119-2	0.0					
MIR3120	0.0					
MIR3121	0.0					
MIR3122	0.866	0.091	0.085	1.061	0.288	
MIR3123	0.0					
MIR3124	0.223	-0.023	0.044	-0.511	0.61	
MIR3125	0.104	0.009	0.042	0.226	0.821	
MIR3126	0.167	-0.01	0.042	-0.246	0.806	
MIR3127	1.057	0.049	0.095	0.518	0.605	
MIR3128	0.0					
MIR3129	0.0					
MIR3130-1	0.0					
MIR3130-2	0.0					
MIR3131	0.0					
MIR3132	0.563	0.047	0.067	0.705	0.481	
MIR3134	0.0					
MIR3136	2.717	0.106	0.14	0.759	0.448	0.588
MIR3138	0.674	-0.023	0.076	-0.303	0.762	
MIR3140	0.0					
MIR3141	0.0					
MIR3142	0.0					
MIR3143	3.948	0.264	0.158	1.67	0.095	0.18
MIR3145	0.0					
MIR3146	0.773	0.029	0.076	0.385	0.701	
MIR3147	0.0					
MIR3148	0.0					
MIR3150A	0.0					
MIR3150B	0.0					
MIR3151	0.0					
MIR3152	0.0					
MIR3153	16.99	0.024	0.208	0.118	0.906	0.943
MIR3154	0.0					
MIR3155A	0.0					
MIR3155B	0.134	0.0	0.042	0.0	1.0	
MIR3156-1	0.0					
MIR3156-2	0.0					
MIR3156-3	0.0					
MIR3157	0.0					
MIR3158-1	0.0					
MIR3158-2	0.0					
MIR3160-1	0.167	-0.01	0.042	-0.246	0.806	
MIR3160-2	0.0					
MIR3162	0.0					
MIR3165	0.0					
MIR3167	0.0					
MIR3169	0.0					
MIR3170	0.0					
MIR3173	0.08	0.0	0.042	0.0	1.0	
MIR3175	0.0					
MIR3176	20.381	-0.169	0.207	-0.812	0.417	0.558
MIR3177	0.191	0.01	0.042	0.226	0.821	
MIR3178	0.0					
MIR3179-1	0.0					
MIR3179-2	0.0					
MIR3179-3	0.0					
MIR3180-1	0.0					
MIR3180-2	0.0					
MIR3180-3	0.0					
MIR3180-4	0.13	-0.01	0.042	-0.246	0.806	
MIR3180-5	0.0					
MIR3182	0.0					
MIR3183	0.0					
MIR3184	0.62	0.024	0.078	0.312	0.755	
MIR3185	0.836	0.021	0.087	0.243	0.808	
MIR3186	0.0					
MIR3187	0.191	0.011	0.046	0.245	0.806	
MIR3188	1.204	0.175	0.098	1.784	0.074	
MIR3189	0.947	0.084	0.086	0.976	0.329	
MIR3190	0.717	-0.007	0.075	-0.097	0.923	
MIR3191	20.12	0.023	0.208	0.112	0.911	0.945
MIR3192	1.467	0.026	0.11	0.233	0.816	
MIR3193	0.0					
MIR3194	0.0					
MIR3196	0.0					
MIR3197	0.0					
MIR3198-1	0.216	0.025	0.048	0.525	0.599	
MIR3198-2	0.0					
MIR3199-1	0.0					
MIR3199-2	0.0					
MIR31HG	18.217	-0.157	0.208	-0.754	0.451	0.591
MIR32	0.08	0.0	0.042	0.0	1.0	
MIR3200	0.0					
MIR3201	0.0					
MIR3202-1	0.65	-0.082	0.076	-1.084	0.278	
MIR3202-2	0.0					
MIR320A	0.715	-0.05	0.078	-0.642	0.521	
MIR320B1	0.0					
MIR320B2	0.717	0.098	0.077	1.264	0.206	
MIR320C1	0.0					
MIR320C2	0.0					
MIR320D1	0.301	-0.017	0.053	-0.314	0.754	
MIR320D2	0.0					
MIR320E	1.692	-0.005	0.116	-0.046	0.963	
MIR323A	0.0					
MIR323B	0.0					
MIR324	0.0					
MIR326	0.0					
MIR328	0.0					
MIR329-1	0.0					
MIR329-2	0.0					
MIR330	0.08	0.0	0.042	0.0	1.0	
MIR331	1.012	0.043	0.095	0.451	0.652	
MIR335	0.0					
MIR337	0.0					
MIR338	0.0					
MIR339	0.63	-0.01	0.073	-0.134	0.893	
MIR33A	0.0					
MIR33B	0.0					
MIR340	0.0					
MIR345	0.112	0.009	0.042	0.226	0.821	
MIR346	0.0					
MIR34A	0.295	0.035	0.056	0.626	0.532	
MIR34B	0.0					
MIR34C	0.0					
MIR3529	0.0					
MIR3545	0.0					
MIR3591	0.0					
MIR3605	1.096	-0.065	0.092	-0.702	0.483	
MIR3606	0.0					
MIR3607	10.988	0.177	0.201	0.88	0.379	0.52
MIR3609	0.112	0.009	0.042	0.226	0.821	
MIR3610	0.0					
MIR3612	0.0					
MIR3613	0.533	0.069	0.067	1.034	0.301	
MIR3614	0.0					
MIR3615	0.0					
MIR3616	0.0					
MIR3618	0.0					
MIR3619	0.0					
MIR362	0.0					
MIR3620	0.08	0.0	0.042	0.0	1.0	
MIR3621	0.0					
MIR3622A	0.0					
MIR3622B	0.0					
MIR363	0.0					
MIR3646	0.0					
MIR3648	22.112	-0.258	0.208	-1.241	0.215	0.34
MIR3649	0.0					
MIR3650	0.0					
MIR3651	1.951	-0.138	0.124	-1.117	0.264	
MIR3652	0.0					
MIR3653	13.171	-0.438	0.205	-2.141	0.032	0.075
MIR3654	0.0					
MIR3655	1.727	-0.01	0.12	-0.081	0.935	
MIR3656	0.191	0.011	0.046	0.245	0.806	
MIR3658	0.0					
MIR3659	0.0					
MIR365A	0.0					
MIR365B	0.0					
MIR3660	0.0					
MIR3661	1.211	-0.028	0.099	-0.285	0.776	
MIR3662	3.405	0.175	0.148	1.185	0.236	0.366
MIR3663	0.245	0.013	0.05	0.268	0.789	
MIR3664	0.0					
MIR3665	0.0					
MIR3666	0.0					
MIR3668	0.0					
MIR367	0.0					
MIR3671	7.597	-0.079	0.187	-0.422	0.673	0.778
MIR3675	0.0					
MIR3676	0.0					
MIR3677	1.627	-0.056	0.118	-0.475	0.635	
MIR3678	0.459	0.02	0.06	0.327	0.744	
MIR3679	0.191	0.01	0.042	0.226	0.821	
MIR3680-1	0.0					
MIR3682	4.635	-0.033	0.164	-0.199	0.843	0.899
MIR3684	0.134	0.0	0.042	0.0	1.0	
MIR3685	18.512	0.226	0.208	1.089	0.276	0.411
MIR3687	10.527	-0.305	0.2	-1.526	0.127	0.227
MIR3688-1	0.0					
MIR3688-2	0.0					
MIR3689A	0.0					
MIR3689B	0.0					
MIR3689C	0.0					
MIR3689D1	0.0					
MIR3689D2	0.0					
MIR3689E	0.0					
MIR3689F	0.0					
MIR369	0.0					
MIR3690	0.0					
MIR3691	0.0					
MIR3692	0.0					
MIR3714	0.0					
MIR371A	0.0					
MIR371B	0.0					
MIR372	0.0					
MIR373	0.0					
MIR374A	0.0					
MIR374B	0.513	0.025	0.069	0.365	0.715	
MIR374C	0.0					
MIR375	0.0					
MIR376A1	0.0					
MIR376A2	0.0					
MIR376B	0.0					
MIR376C	0.0					
MIR377	0.0					
MIR378C	0.0					
MIR378D1	0.0					
MIR378D2	0.303	0.031	0.053	0.59	0.555	
MIR378E	0.0					
MIR378F	0.0					
MIR379	0.0					
MIR380	0.0					
MIR381	0.0					
MIR382	0.0					
MIR383	0.0					
MIR384	0.0					
MIR3907	0.0					
MIR3908	0.0					
MIR3909	0.167	-0.01	0.042	-0.246	0.806	
MIR3910-1	0.0					
MIR3910-2	0.0					
MIR3911	2.673	0.159	0.143	1.116	0.265	0.398
MIR3912	0.923	0.141	0.088	1.599	0.11	
MIR3913-1	0.0					
MIR3913-2	0.0					
MIR3914-1	0.0					
MIR3914-2	0.0					
MIR3916	11.891	0.015	0.203	0.073	0.942	0.965
MIR3917	0.0					
MIR3918	0.0					
MIR3919	0.0					
MIR3920	0.0					
MIR3921	0.0					
MIR3922	0.0					
MIR3924	0.0					
MIR3925	0.0					
MIR3926-1	0.0					
MIR3926-2	0.0					
MIR3928	0.0					
MIR3935	0.0					
MIR3936	11.254	0.08	0.203	0.396	0.692	0.793
MIR3938	0.0					
MIR3939	2.754	-0.167	0.143	-1.165	0.244	0.375
MIR3940	0.379	-0.019	0.057	-0.335	0.738	
MIR3941	0.191	0.01	0.042	0.226	0.821	
MIR3942	3.432	-0.013	0.148	-0.09	0.929	0.957
MIR3943	0.0					
MIR3944	1.484	-0.016	0.107	-0.152	0.879	
MIR3945	0.0					
MIR3960	1.499	0.045	0.111	0.411	0.681	
MIR3973	0.0					
MIR3974	0.0					
MIR3975	0.104	0.009	0.042	0.226	0.821	
MIR3976	0.0					
MIR3977	0.0					
MIR3978	0.0					
MIR409	0.0					
MIR410	0.0					
MIR411	0.0					
MIR412	0.0					
MIR421	0.962	-0.036	0.09	-0.402	0.688	
MIR423	0.492	-0.001	0.068	-0.018	0.985	
MIR424	0.0					
MIR425	0.21	-0.013	0.047	-0.277	0.782	
MIR4251	0.0					
MIR4252	0.0					
MIR4253	0.0					
MIR4254	0.238	0.013	0.049	0.265	0.791	
MIR4255	0.0					
MIR4256	0.0					
MIR4257	0.215	-0.001	0.048	-0.011	0.991	
MIR4258	9.569	0.307	0.198	1.554	0.12	0.217
MIR4260	0.08	0.0	0.042	0.0	1.0	
MIR4261	0.0					
MIR4262	0.0					
MIR4263	0.806	0.04	0.083	0.483	0.629	
MIR4264	0.0					
MIR4265	0.0					
MIR4266	0.0					
MIR4267	0.0					
MIR4268	0.0					
MIR4269	0.0					
MIR4270	0.0					
MIR4271	0.0					
MIR4272	0.0					
MIR4273	0.0					
MIR4274	0.0					
MIR4275	0.0					
MIR4276	0.0					
MIR4277	0.0					
MIR4278	0.0					
MIR4279	0.0					
MIR4280	0.0					
MIR4281	0.0					
MIR4282	0.0					
MIR4283-1	0.0					
MIR4283-2	0.0					
MIR4284	0.0					
MIR4285	0.492	-0.051	0.068	-0.745	0.456	
MIR4287	0.0					
MIR4288	0.0					
MIR4289	0.0					
MIR429	0.0					
MIR4290	0.0					
MIR4291	0.0					
MIR4292	16.388	-0.062	0.208	-0.297	0.767	0.848
MIR4294	0.0					
MIR4295	0.0					
MIR4296	0.0					
MIR4297	0.08	0.0	0.042	0.0	1.0	
MIR4298	0.0					
MIR4299	0.0					
MIR4300	0.0					
MIR4301	0.0					
MIR4302	0.0					
MIR4303	0.0					
MIR4304	0.0					
MIR4305	0.0					
MIR4306	0.0					
MIR4307	0.0					
MIR4308	0.0					
MIR4309	0.0					
MIR431	0.0					
MIR4310	0.0					
MIR4311	0.0					
MIR4312	0.288	0.03	0.052	0.579	0.563	
MIR4313	0.325	0.018	0.058	0.314	0.753	
MIR4314	0.0					
MIR4315-1	0.0					
MIR4315-2	0.0					
MIR4316	0.0					
MIR4317	0.0					
MIR4318	0.0					
MIR4319	0.0					
MIR432	0.0					
MIR4320	0.0					
MIR4321	39.409	-0.393	0.195	-2.012	0.044	0.097
MIR4322	0.191	0.01	0.042	0.226	0.821	
MIR4323	0.0					
MIR4324	1.729	0.081	0.121	0.67	0.503	
MIR4325	0.0					
MIR4326	1.074	0.098	0.091	1.076	0.282	
MIR4327	0.0					
MIR4328	0.0					
MIR4329	0.951	-0.015	0.09	-0.171	0.864	
MIR433	0.0					
MIR4330	0.0					
MIR4417	0.0					
MIR4420	0.0					
MIR4422	0.0					
MIR4423	0.0					
MIR4424	0.0					
MIR4426	0.0					
MIR4427	0.191	0.01	0.042	0.226	0.821	
MIR4429	0.0					
MIR4432	0.0					
MIR4434	0.191	-0.012	0.046	-0.267	0.789	
MIR4435-1	0.0					
MIR4435-2	0.0					
MIR4436A	0.0					
MIR4436B1	0.0					
MIR4437	0.0					
MIR4439	0.0					
MIR4440	0.0					
MIR4441	0.134	0.0	0.042	0.0	1.0	
MIR4442	4.961	-0.068	0.172	-0.393	0.694	0.794
MIR4443	0.0					
MIR4444-1	121.568	-0.26	0.153	-1.699	0.089	0.171
MIR4446	0.0					
MIR4449	2.643	0.064	0.138	0.463	0.644	0.756
MIR4450	0.0					
MIR4451	0.0					
MIR4453	0.0					
MIR4454	0.0					
MIR4456	0.0					
MIR4457	0.08	0.0	0.042	0.0	1.0	
MIR4458	0.0					
MIR4460	0.0					
MIR4461	0.59	-0.055	0.073	-0.749	0.454	
MIR4462	0.0					
MIR4464	0.0					
MIR4465	0.0					
MIR4466	0.0					
MIR4467	3.462	0.019	0.153	0.123	0.902	0.94
MIR4468	0.0					
MIR4469	0.622	0.0	0.071	0.006	0.995	
MIR4470	0.0					
MIR4471	0.0					
MIR4472-1	0.0					
MIR4472-2	0.0					
MIR4473	0.08	0.0	0.042	0.0	1.0	
MIR4474	0.0					
MIR4475	0.0					
MIR4476	0.0					
MIR4478	0.0					
MIR4479	1.395	0.01	0.104	0.095	0.924	
MIR448	0.0					
MIR4480	0.0					
MIR4482-1	4.625	-0.149	0.165	-0.902	0.367	0.508
MIR4483	0.0					
MIR4484	0.0					
MIR4485	0.0					
MIR4486	0.0					
MIR4488	0.0					
MIR4489	0.438	-0.001	0.063	-0.015	0.988	
MIR4490	0.0					
MIR4491	0.0					
MIR4492	0.0					
MIR4493	0.0					
MIR4497	0.0					
MIR4498	0.0					
MIR4499	0.0					
MIR449A	0.0					
MIR449B	0.0					
MIR449C	0.0					
MIR4500	0.0					
MIR4500HG	6.345	0.285	0.182	1.56	0.119	0.215
MIR4503	0.0					
MIR4505	0.0					
MIR4508	0.0					
MIR4509-1	0.0					
MIR4509-2	0.0					
MIR4509-3	0.0					
MIR450A1	0.0					
MIR450A2	0.0					
MIR450B	0.0					
MIR4510	0.0					
MIR4511	0.0					
